RANK,WORD,FREQUENCY
1,के,102514
2,है,87936
3,में,80274
4,की,66920
5,से,48687
6,और,47507
7,का,47048
8,को,40789
9,हैं,30572
10,पर,26482
11,भी,25357
12,नहीं,22881
13,कि,22876
14,एक,20275
15,ही,19469
16,हो,18154
17,तो,16500
18,यह,16431
19,था,16215
20,ने,16109
21,इस,16100
22,लिए,15499
23,कर,14149
24,वह,12388
25,किया,12048
26,गया,11836
27,तथा,11544
28,करने,9988
29,जो,9466
30,अपने,8224
31,थे,8151
32,थी,8137
33,न,7466
34,कुछ,7423
35,जाता,7068
36,साथ,7001
37,या,6917
38,तक,6857
39,होता,6768
40,दिया,6534
41,जा,6128
42,रहा,6018
43,मैं,5974
44,कोई,5844
45,वे,5756
46,हुए,5749
47,रूप,5317
48,किसी,5290
49,हुआ,5211
50,उसे,4948
51,बात,4924
52,द्वारा,4858
53,समय,4781
54,उसके,4754
55,क्या,4679
56,कहा,4671
57,गई,4667
58,प्रकार,4653
59,अपनी,4624
60,करते,4607
61,उस,4555
62,रहे,4528
63,एवं,4512
64,होती,4433
65,सकता,4409
66,जब,4400
67,रही,4279
68,बहुत,4251
69,अधिक,4151
70,होने,4057
71,जाती,3993
72,दो,3967
73,तरह,3924
74,बाद,3873
75,इन,3849
76,कारण,3832
77,फिर,3815
78,हुई,3809
79,करना,3757
80,हम,3647
81,उनके,3594
82,अ,3560
83,वाले,3485
84,चाहिए,3420
85,जाने,3345
86,कार्य,3345
87,लेकिन,3335
88,करता,3265
89,गये,3261
90,इसके,3218
91,काम,3194
92,ओर,3082
93,आदि,2998
94,वर्ष,2960
95,दी,2957
96,प्राप्त,2946
97,पहले,2920
98,उसकी,2916
99,विकास,2911
100,आ,2884
101,जैसे,2864
102,आप,2848
103,होते,2845
104,भारत,2844
105,सरकार,2833
106,ज,2797
107,उन्हें,2792
108,दिन,2788
109,कम,2777
110,ये,2762
111,जीवन,2762
112,क्षेत्र,2749
113,कभी,2745
114,लोग,2721
115,:,2672
116,देश,2608
117,उसने,2606
118,मुझे,2599
119,जाते,2589
120,दोनों,2574
121,बा,2569
122,अन्य,2541
123,आज,2534
124,व,2526
125,होगा,2518
126,गयी,2514
127,गए,2464
128,उसका,2463
129,यदि,2455
130,उनकी,2440
131,पास,2434
132,सभी,2425
133,घर,2418
134,लिया,2389
135,इसी,2389
136,सब,2352
137,लोगों,2324
138,लिये,2302
139,तब,2291
140,उन्होंने,2250
141,नाम,2187
142,हूं,2184
143,ऐसे,2146
144,ऐसा,2144
145,अपना,2108
146,दूसरे,2079
147,लगा,2073
148,केवल,2073
149,राज्य,2044
150,उन,2024
151,सकते,1988
152,करके,1987
153,ले,1952
154,व्यक्ति,1947
155,तुम,1934
156,श्री,1924
157,मे,1911
158,मेरे,1899
159,भारतीय,1890
160,प्रति,1878
161,वाली,1871
162,दे,1869
163,सी,1867
164,सकती,1853
165,ऐसी,1851
166,करती,1841
167,विशेष,1834
168,देने,1832
169,प्रयोग,1820
170,क्योंकि,1807
171,कई,1803
172,हाथ,1785
173,विभिन्न,1769
174,बीच,1744
175,स्थिति,1734
176,उनका,1731
177,मन,1729
178,हमारे,1725
179,इसलिए,1719
180,भाषा,1706
181,इसका,1697
182,बड़े,1688
183,व्यवस्था,1681
184,तीन,1671
185,अथवा,1664
186,बड़ी,1648
187,विचार,1637
188,लाख,1614
189,परन्तु,1612
190,यहां,1611
191,योजना,1609
192,वहां,1589
193,अलग,1571
194,भाग,1564
195,ठीक,1557
196,जिस,1557
197,मैंने,1547
198,अनेक,1544
199,अनुसार,1534
200,पानी,1533
201,आधार,1533
202,यही,1532
203,हूँ,1528
204,किन्तु,1524
205,अभी,1519
206,स्थान,1516
207,किए,1510
208,किये,1502
209,तैयार,1497
210,उत्पादन,1481
211,देखा,1477
212,शिक्षा,1475
213,उसी,1465
214,ध्यान,1461
215,सामने,1457
216,क्यों,1444
217,रहता,1443
218,प्रदेश,1439
219,समाज,1432
220,बारे,1431
221,लेकर,1424
222,इसमें,1424
223,कहीं,1422
224,बना,1421
225,उत्तर,1410
226,होकर,1393
227,हर,1393
228,दृष्टि,1380
229,थीं,1378
230,आया,1378
231,बन,1377
232,आवश्यक,1375
233,रह,1373
234,जाना,1366
235,होना,1362
236,बाहर,1341
237,मेरी,1334
238,आगे,1326
239,सम्बन्ध,1323
240,देते,1316
241,काफी,1309
242,कहते,1303
243,विषय,1297
244,सिंह,1294
245,दौरान,1294
246,दूर,1286
247,निर्माण,1284
248,मुख्य,1282
249,ऊपर,1281
250,सहायता,1276
251,नही,1268
252,पता,1260
253,रुपये,1259
254,जिसमें,1253
255,अध्ययन,1249
256,पूर्व,1247
257,इससे,1238
258,सबसे,1236
259,लगभग,1230
260,कार्यक्रम,1227
261,अगर,1224
262,प्रतिशत,1222
263,अत:,1217
264,राजा,1211
265,पत्र,1209
266,बड़ा,1207
267,उपयोग,1207
268,होगी,1203
269,स्वयं,1200
270,सके,1192
271,लगता,1189
272,इसे,1183
273,मात्रा,1180
274,जाए,1177
275,हमें,1171
276,आने,1169
277,चार,1168
278,जल,1167
279,मिल,1162
280,प्रत्येक,1158
281,ज्ञान,1155
282,आदमी,1152
283,शुरू,1151
284,देना,1146
285,अर्थ,1139
286,लगे,1138
287,पूरा,1136
288,धर्म,1135
289,जहां,1134
290,आर्थिक,1132
291,देता,1131
292,यहाँ,1129
293,करोड़,1128
294,शब्द,1127
295,बिना,1127
296,वाला,1124
297,रहते,1118
298,मनुष्य,1118
299,उसमें,1114
300,राष्ट्रीय,1113
301,क्षेत्रों,1113
302,सामाजिक,1112
303,प्रभाव,1104
304,शरीर,1102
305,स्तर,1098
306,पूरी,1089
307,स्पष्ट,1084
308,शक्ति,1084
309,जिससे,1075
310,भर,1074
311,मेरा,1059
312,दिल्ली,1058
313,उससे,1055
314,संख्या,1051
315,करें,1045
316,इतना,1041
317,आवश्यकता,1039
318,रहती,1038
319,बनाने,1036
320,अतिरिक्त,1027
321,साहित्य,1023
322,चाहता,1018
323,भूमि,1016
324,नीचे,1012
325,समिति,1007
326,दूसरी,1000
327,विज्ञान,991
328,साहब,990
329,रखा,990
330,कैसे,983
331,छोटे,968
332,अच्छा,966
333,चित्र,964
334,लगी,960
335,ज्यादा,960
336,सा,959
337,विभाग,958
338,कृषि,955
339,पड़ता,952
340,रात,951
341,उत्पन्न,947
342,इसकी,940
343,कह,937
344,रहने,933
345,धीरे,933
346,देख,925
347,कौन,923
348,पड़ा,921
349,आई,919
350,काल,915
351,स्थापित,913
352,टन,912
353,महत्वपूर्ण,910
354,गांव,910
355,उद्योग,907
356,हों,906
357,वृद्धि,905
358,लाभ,905
359,परिवार,905
360,अच्छी,901
361,चल,891
362,प्रदान,888
363,वर्ग,886
364,पूर्ण,886
365,पिता,886
366,सामान्य,885
367,पीछे,885
368,चला,884
369,ई,883
370,नई,882
371,लोक,879
372,आता,879
373,वहाँ,875
374,लेने,875
375,प्रश्न,875
376,मानव,872
377,हिन्दी,862
378,जनता,862
379,अन्तर्गत,861
380,जिसके,860
381,साल,858
382,तरफ,852
383,प्रमुख,849
384,हमारी,847
385,समान,846
386,देती,843
387,भाई,839
388,रंग,837
389,विश्वास,835
390,दिनों,833
391,उपलब्ध,823
392,जाय,822
393,भिन्न,821
394,अनुभव,821
395,वही,817
396,रोग,816
397,सेवा,815
398,उनमें,813
399,संबंध,812
400,समझ,810
401,केन्द्र,810
402,हेतु,808
403,समस्या,808
404,पी,808
405,नीति,806
406,प्रस्तुत,805
407,बताया,799
408,आपको,799
409,आते,799
410,भाव,795
411,आये,791
412,कहना,788
413,मूल्य,784
414,ली,783
415,मिला,778
416,बच्चे,778
417,मंत्री,774
418,सरकारी,772
419,भीतर,768
420,देर,768
421,कुल,766
422,लिखा,763
423,जिसे,760
424,केन्द्रीय,760
425,कमी,760
426,उद्देश्य,759
427,स्त्री,752
428,दिये,750
429,कला,750
430,बातें,748
431,किस,747
432,सही,746
433,प्रथम,746
434,जाये,745
435,जगह,744
436,माध्यम,743
437,इतनी,741
438,देशों,740
439,रुप,737
440,उचित,737
441,स्वीकार,731
442,पैदा,731
443,गांधी,730
444,पुलिस,728
445,माना,724
446,बिजली,723
447,नये,723
448,राम,721
449,इतिहास,716
450,रखने,715
451,मगर,711
452,जबकि,710
453,शायद,707
454,मिलता,707
455,देखने,704
456,शामिल,703
457,वस्तु,703
458,ए,703
459,क्षमता,700
460,आती,700
461,ढेल्हि,699
462,जारी,698
463,बल्कि,696
464,मूल,690
465,टो,690
466,परिवर्तन,689
467,जैसा,688
468,चुका,688
469,संस्कृति,687
470,माल,687
471,ताकि,686
472,कविता,685
473,प्रणाली,683
474,वैज्ञानिक,678
475,मत,678
476,देखते,678
477,व्यवहार,677
478,लेते,674
479,रख,672
480,प्रयास,670
481,देखकर,670
482,प्रक्रिया,669
483,सिर,668
484,प्रशिक्षण,667
485,दर्शन,667
486,इनके,667
487,जहाँ,665
488,निश्चित,664
489,बच्चों,662
490,जन्म,660
491,विश्व,659
492,जिन,657
493,पत्नी,656
494,बस,654
495,चाहते,654
496,दूसरा,653
497,सन्,652
498,बल,652
499,चाहे,652
500,समाप्त,649
501,बालक,649
502,सारे,646
503,युद्ध,645
504,परियोजना,644
505,स्वर,641
506,रचना,639
507,सूचना,638
508,मध्य,638
509,जमीन,638
510,जाएगा,634
511,स्थापना,633
512,संघ,631
513,अनुसंधान,631
514,विवाह,630
515,पाया,630
516,विधि,629
517,बढ़,628
518,ग्रामीण,628
519,बैंक,624
520,चाहिये,624
521,दें,623
522,मां,622
523,संगीत,618
524,आपके,617
525,सहकारी,615
526,बनाया,614
527,ओङ्,613
528,कांग्रेस,611
529,लग,610
530,अवधि,610
531,जिसका,608
532,जाकर,607
533,प्राय:,606
534,सिद्धान्त,605
535,जान,605
536,एस,605
537,लाल,604
538,उनको,604
539,अधिकार,603
540,दल,602
541,वर्तमान,601
542,तभी,601
543,पूछा,598
544,अन्दर,598
545,मिट्टी,596
546,नदी,594
547,निर्णय,593
548,जिनमें,591
549,जाति,590
550,जायेगा,589
551,ग्राम,587
552,पड़े,586
553,शब्दों,585
554,मान,582
555,सामग्री,581
556,पड़,581
557,छोड़,581
558,पति,579
559,छोटी,578
560,सत्य,577
561,इनमें,577
562,जानकारी,574
563,सिर्फ,569
564,वस्तुओं,568
565,उठा,568
566,सारी,566
567,उनसे,566
568,व्यापार,565
569,याद,565
570,पक्ष,562
571,बाजार,560
572,पूरे,560
573,अर्थात्,560
574,हमारा,559
575,माता,559
576,सुधार,558
577,प्रस्ताव,558
578,उपभोक्ता,558
579,होंगे,557
580,दिए,557
581,अ,556
582,अलावा,555
583,पिछले,554
584,कहानी,554
585,बन्द,553
586,राज्यों,552
587,महत्व,552
588,यद्यपि,551
589,डी,551
590,आकर,551
591,अवसर,551
592,दिखाई,550
593,नगर,549
594,मात्र,548
595,पर्याप्त,545
596,निकल,545
597,आधुनिक,545
598,अन्त,545
599,जल्दी,544
600,सदस्य,543
601,सम्बन्धी,542
602,सीमा,541
603,बोला,541
604,प्रकाशित,541
605,तुम्हें,541
606,संयुक्त,540
607,चले,539
608,अपेक्षा,539
609,वैसे,536
610,मांग,536
611,उसको,536
612,प्रकाश,535
613,वास्तविक,534
614,पंजाब,534
615,स्वरूप,532
616,भावना,530
617,अवस्था,530
618,करे,529
619,प्रेम,528
620,प्रकट,528
621,लेना,527
622,मृत्यु,527
623,नेता,526
624,हजार,525
625,पुन:,522
626,चुके,520
627,संबंधित,519
628,लड़की,519
629,लेता,519
630,पुरुष,518
631,निर्धारित,518
632,विस्तार,516
633,पहली,516
634,क्रिया,513
635,सहयोग,512
636,फसल,512
637,रखते,510
638,पड़ी,509
639,कोशिश,508
640,आशा,508
641,अवश्य,507
642,सम्बन्धित,502
643,संघर्ष,502
644,विकसित,502
645,दर,502
646,संगठन,501
647,युग,501
648,भारी,501
649,जोर,501
650,आपने,501
651,वातावरण,500
652,बने,500
653,परिणाम,499
654,पद,499
655,णेत्,499
656,जैसी,499
657,लगती,498
658,समूह,497
659,संसार,497
660,प्रारम्भ,497
661,प्रकृति,497
662,पुत्र,497
663,ढंग,497
664,खड़ा,496
665,संबंधी,493
666,मालूम,493
667,बातों,493
668,दस,493
669,खड़े,493
670,पद्धति,492
671,आयात,492
672,सिद्ध,491
673,व्यक्तियों,490
674,लागू,490
675,एम,490
676,विशिष्ट,488
677,तुम्हारे,488
678,वर्षों,487
679,मिलने,487
680,पुस्तक,486
681,तेल,486
682,करनी,486
683,करेंगे,485
684,उच्च,484
685,लक्ष्य,483
686,अभाव,483
687,पांच,481
688,चलता,480
689,बैठक,479
690,चर्चा,479
691,औद्योगिक,479
692,बैठ,478
693,प्रगति,478
694,आवाज,477
695,राष्ट्र,476
696,चली,476
697,बीज,474
698,गति,474
699,कितना,474
700,कल,474
701,उदाहरण,473
702,खर्च,471
703,कवि,470
704,सुरक्षा,469
705,नियंत्रण,468
706,स्कूल,467
707,परीक्षण,467
708,दूध,467
709,बैठे,466
710,जन,466
711,आनोन्,466
712,सौ,465
713,मार्ग,465
714,इतने,465
715,हमने,464
716,देकर,464
717,तुलना,464
718,हां,463
719,शासन,462
720,पार्टी,462
721,तू,462
722,चुनाव,462
723,चारों,462
724,शहर,461
725,मिलती,461
726,प्राचीन,461
727,कमरे,461
728,लगाने,457
729,बनी,457
730,प्रयत्न,457
731,दिशा,456
732,वहीं,455
733,सारा,454
734,आदेश,453
735,फल,452
736,खाने,452
737,कहां,452
738,इनकी,452
739,योग,451
740,किसान,451
741,इनका,451
742,पूर्ति,450
743,तकनीकी,450
744,कृष्ण,450
745,कहता,450
746,रखना,449
747,नामक,449
748,रहना,448
749,उल्लेख,448
750,अधिकारी,448
751,वालों,446
752,रिपोर्ट,446
753,अच्छे,446
754,वर्णन,445
755,ऊर्जा,445
756,अत्यन्त,445
757,रुपए,444
758,थोड़ी,443
759,बोली,441
760,अन्ड्,440
761,आए,439
762,लगाया,438
763,प्रभावित,438
764,आरम्भ,438
765,अधिकांश,438
766,सकें,437
767,मार्च,436
768,वास्तव,435
769,चुकी,435
770,खुद,435
771,क,435
772,गुण,434
773,स्थित,433
774,महीने,433
775,पा,433
776,इच्छा,433
777,आयी,433
778,साधन,432
779,पौधों,432
780,खेती,432
781,अध्यक्ष,432
782,व्यापक,431
783,चिकित्सा,431
784,कहने,431
785,अनुमान,431
786,धन,429
787,सभा,426
788,रस,426
789,मुद्रा,426
790,आपका,426
791,आकार,426
792,इधर,425
793,मिली,424
794,मामले,424
795,दक्षिण,424
796,वक्त,423
797,समझा,422
798,राशि,422
799,माँ,422
800,सहायक,421
801,विरोध,421
802,नियम,421
803,श्चिएन्चे,420
804,मानते,419
805,ंएडिअ,419
806,साफ,418
807,प्रचार,418
808,किंतु,418
809,आत्मा,418
810,भोजन,415
811,बी,415
812,सम्पूर्ण,414
813,सफल,413
814,कितनी,413
815,समस्त,412
816,लागत,412
817,राजनीतिक,411
818,मानसिक,411
819,बराबर,410
820,धार्मिक,408
821,उधर,408
822,आयु,408
823,आपकी,408
824,सुविधा,407
825,लें,406
826,पदार्थ,406
827,विदेशी,405
828,लक्षण,405
829,रक्षा,405
830,सिंचाई,403
831,नयी,402
832,व्यक्तित्व,401
833,बैठा,401
834,कर्मचारियों,401
835,आयोग,401
836,मुंह,400
837,बोर्ड,398
838,खोज,397
839,किस्म,397
840,व्यक्त,396
841,प्रवेश,396
842,रेखा,395
843,कल्पना,395
844,राजस्थान,394
845,करेगा,393
846,इन्हें,393
847,व्यवसाय,392
848,राज,392
849,इस्तेमाल,392
850,लेखक,391
851,प्राप्ति,391
852,कितने,391
853,कानून,391
854,जिन्हें,389
855,ख,389
856,कार्यों,389
857,अंग्रेजी,389
858,साधारण,388
859,सुन्दर,386
860,सीमित,386
861,स्वास्थ्य,385
862,नष्ट,385
863,जिनके,385
864,जानते,385
865,जानता,385
866,माननीय,384
867,आधारित,383
868,उप,382
869,व्यय,381
870,आय,381
871,शैली,380
872,वापस,380
873,छोड़कर,380
874,चित्रों,380
875,होनी,379
876,संभव,379
877,शेष,379
878,मई,379
879,बनाये,379
880,आम,379
881,निकट,378
882,तेजी,378
883,डा,378
884,आर,378
885,परीक्षा,377
886,गैस,376
887,क्षेत्रीय,376
888,उपयुक्त,376
889,अंग,376
890,रहेगा,375
891,निर्भर,375
892,जाएगी,375
893,जरूरत,375
894,कपड़े,375
895,मुक्त,374
896,मानक,374
897,नया,374
898,जांच,374
899,हरियाणा,373
900,सका,373
901,खड़ी,373
902,किसानों,373
903,करो,373
904,भविष्य,372
905,दुनिया,371
906,सम्भव,370
907,संस्थान,370
908,भूमिका,370
909,पुस्तकालय,370
910,तत्व,370
911,शिक्षण,368
912,प्रसिद्ध,368
913,तौर,368
914,चाहती,368
915,सो,367
916,सेना,367
917,मकान,367
918,पाता,365
919,कठिन,365
920,औ,365
921,लाने,364
922,घटना,364
923,रूपये,363
924,प्राकृतिक,363
925,जितना,363
926,अन्तर,363
927,सीधे,362
928,बदल,362
929,प्रधान,362
930,नए,362
931,इसीलिए,362
932,सुख,361
933,परम्परा,361
934,थोड़ा,361
935,मिले,360
936,समितियों,358
937,मार,358
938,बिहार,358
939,पड़ती,358
940,सात,357
941,खाना,357
942,पौधे,356
943,लघु,355
944,यात्रा,355
945,वितरण,354
946,बंद,354
947,पूजा,354
948,नजर,354
949,सदस्यों,353
950,बुद्धि,353
951,बिक्री,353
952,तुम्हारी,353
953,खेल,353
954,ळिटेरटुरे,352
955,मंत्रालय,352
956,लड़के,351
957,पैसा,351
958,वायु,350
959,सवाल,349
960,विस्तृत,349
961,सम्मेलन,347
962,वित्तीय,347
963,लगते,347
964,प्रकाशन,347
965,आयोजित,347
966,सच,346
967,विश्लेषण,346
968,रोजगार,346
969,अरे,346
970,अधिकारियों,346
971,मिलते,345
972,निम्नलिखित,345
973,टी,345
974,राजनीति,344
975,बोले,344
976,पश्चिम,344
977,धारा,344
978,प्रमाण,343
979,पेड़,343
980,निगम,343
981,मूल्यांकन,341
982,महोदय,341
983,गाँव,341
984,अधिनियम,341
985,श्रम,340
986,जमा,340
987,चेहरे,340
988,चलते,340
989,अप्रैल,340
990,अन्तिम,340
991,सुबह,339
992,सत्ता,339
993,योग्य,339
994,निर्यात,339
995,जिसकी,339
996,समस्याओं,338
997,शाम,338
998,विचारों,338
999,मीटर,338
1000,प्रचलित,338